,OEN,ArticleNumber,Price
0,Mercedes-Benz 5WK96682,5WK96682,"€237,50 Incl. BTW €287,38"
1,Mercedes-Benz A0009058411,5WK96681E,"€237,50 Incl. BTW €287,38"
2,Mercedes-Benz A0009058511,5WK96682,"€237,50 Incl. BTW €287,38"
3,BMW NOx sensor 11787587129 / 758712905 / 758712903,5WK96610L,"€237,50 Incl. BTW €287,38"
4,BMW NOx sensor 5WK96610L,5WK96610L,"€237,50 Incl. BTW €287,38"
5,BMW NOx sensor 11787587130 / 758713005,5WK96621K,"€237,50 Incl. BTW €287,38"
6,BMW NOx sensor 5WK96621K,5WK96621K,"€237,50 Incl. BTW €287,38"
7,BMW NOx sensor 11787590402,5WK96650D,"€237,50 Incl. BTW €287,38"
8,BMW NOx sensor 5WK96650D,5WK96650D,"€237,50 Incl. BTW €287,38"
9,BMW NOx sensor 13628589846,5WK96699C,"€237,50 Incl. BTW €287,38"
10,BMW NOx sensor 5WK96699C,5WK96699C,"€237,50 Incl. BTW €287,38"
11,CHRYSLER NOx sensor 05149216AB,5WK96651A,"€237,50 Incl. BTW €287,38"
12,CHRYSLER NOx sensor 5WK96651A,5WK96651A,"€237,50 Incl. BTW €287,38"
13,CHRYSLER NOx sensor 5WK96684A,5WK96684A,"€237,50 Incl. BTW €287,38"
14,CHRYSLER NOx sensor 68067521AA,5WK96684A,"€237,50 Incl. BTW €287,38"
15,CHRYSLER NOx sensor 5WK96730,5WK96730,"€237,50 Incl. BTW €287,38"
16,CHRYSLER NOx sensor 68085740AA,5WK96730,"€237,50 Incl. BTW €287,38"
17,CHRYSLER NOx sensor 5WK97360,5WK97360,"€237,50 Incl. BTW €287,38"
18,CHRYSLER NOx sensor 68227468AA,5WK97360,"€237,50 Incl. BTW €287,38"
19,Cummins NOx sensor 2871974 / 2894943RX,5WK96672A,"€237,50 Incl. BTW €287,38"
20,Cummins NOx sensor 5WK96672A,5WK96672A,"€237,50 Incl. BTW €287,38"
21,Cummins NOx sensor 2871978 / 2894939RX,5WK96674A,"€237,50 Incl. BTW €287,38"
22,Cummins NOx sensor 5WK96674A,5WK96674A,"€237,50 Incl. BTW €287,38"
23,Cummins NOx sensor 2872236 / 2894944RX,5WK96691A,"€237,50 Incl. BTW €287,38"
24,Cummins NOx sensor 5WK96691A,5WK96691A,"€237,50 Incl. BTW €287,38"
25,Cummins NOx sensor 2872298 / 2894946RX,5WK96693A,"€237,50 Incl. BTW €287,38"
26,Cummins NOx sensor 5WK96693A,5WK96693A,"€237,50 Incl. BTW €287,38"
27,Cummins NOx sensor 2872947 / 2872947NX / 4326869,5WK96753,"€237,50 Incl. BTW €287,38"
28,Cummins NOx sensor 5WK96753,5WK96753,"€237,50 Incl. BTW €287,38"
29,Cummins NOx sensor 2894941 / 3687334 / 3687334,5WK96673A,"€237,50 Incl. BTW €287,38"
30,Cummins NOx sensor 5WK96673A,5WK96673A,"€237,50 Incl. BTW €287,38"
31,Cummins NOx sensor 2894942,5WK96676A,"€237,50 Incl. BTW €287,38"
32,Cummins NOx sensor 5WK96676A,5WK96676A,"€237,50 Incl. BTW €287,38"
33,Cummins NOx sensor 2894945 / 2872297 / 5293295,5WK96692A,"€237,50 Incl. BTW €287,38"
34,Cummins NOx sensor 5WK96692A,5WK96692A,"€237,50 Incl. BTW €287,38"
35,Cummins NOx sensor 3687930 / 2872944 / 4326870,5WK96740B,"€237,50 Incl. BTW €287,38"
36,Cummins NOx sensor 5WK96740B,5WK96740B,"€237,50 Incl. BTW €287,38"
37,Cummins NOx sensor 4326862,5WK96751C,"€237,50 Incl. BTW €287,38"
38,Cummins NOx sensor 5WK96751C,5WK96751C,"€237,50 Incl. BTW €287,38"
39,Cummins NOx sensor 4326863,5WK96765B,"€237,50 Incl. BTW €287,38"
40,Cummins NOx sensor 5WK96765B,5WK96765B,"€237,50 Incl. BTW €287,38"
41,Cummins NOx sensor 4326864 / A2C95992900,5WK96750C,"€237,50 Incl. BTW €287,38"
42,Cummins NOx sensor 5WK96750C,5WK96750C,"€237,50 Incl. BTW €287,38"
43,Cummins NOx sensor 4326867 / A045S161,5WK96754C,"€237,50 Incl. BTW €287,38"
44,Cummins NOx sensor 5WK96754C,5WK96754C,"€237,50 Incl. BTW €287,38"
45,Cummins NOx sensor 4326872RX,5WK96749B,"€237,50 Incl. BTW €287,38"
46,Cummins NOx sensor 5WK96749B,5WK96749B,"€237,50 Incl. BTW €287,38"
47,Cummins NOx sensor 4326873 / A0415S170,5WK96742B,"€237,50 Incl. BTW €287,38"
48,Cummins NOx sensor 5WK96742B,5WK96742B,"€237,50 Incl. BTW €287,38"
49,Cummins NOx sensor 4326874RX / 4326874,5WK96741B,"€237,50 Incl. BTW €287,38"
50,Cummins NOx sensor 5WK96741B,5WK96741B,"€237,50 Incl. BTW €287,38"
51,Cummins NOx sensor 5WK96765A,5WK96765A,"€237,50 Incl. BTW €287,38"
52,Cummins NOx sensor A2C89789800-01 / 4326863,5WK96765A,"€237,50 Incl. BTW €287,38"
53,Cummins NOx sensor 5WK97102,5WK97102,"€237,50 Incl. BTW €287,38"
54,Cummins NOx sensor A2C93842800-01 / A2C16257000-01,5WK97102,"€237,50 Incl. BTW €287,38"
55,DAF NOx sensor 2011649 / 1836060 / 1793379 / 1697586,5WK96628C,"€237,50 Incl. BTW €287,38"
56,DAF NOx sensor 5WK96628C,5WK96628C,"€237,50 Incl. BTW €287,38"
57,DAF NOx sensor 2011648 / 1836061 / 1836059 / 1793378 / 1744683,5WK96619D,"€237,50 Incl. BTW €287,38"
58,DAF NOx sensor 5WK96619D,5WK96619D,"€237,50 Incl. BTW €287,38"
59,DAF NOx sensor 2006243 / 1973525 / 1936256,5WK97344B,"€237,50 Incl. BTW €287,38"
60,DAF NOx sensor 5WK97344B,5WK97344B,"€237,50 Incl. BTW €287,38"
61,DAF NOx sensor 2006245 / 1973527 / 1936258 / 1932603,5WK96661D,"€237,50 Incl. BTW €287,38"
62,DAF NOx sensor 5WK96661D,5WK96661D,"€237,50 Incl. BTW €287,38"
63,DAF NOx sensor 2006246,5WK96759C,"€237,50 Incl. BTW €287,38"
64,DAF NOx sensor 5WK96759C,5WK96759C,"€237,50 Incl. BTW €287,38"
65,DAF NOx sensor 2011650 / 1836061 / 1793380,5WK96626C,"€237,50 Incl. BTW €287,38"
66,DAF NOx sensor 5WK96626C,5WK96626C,"€237,50 Incl. BTW €287,38"
67,DAF NOx sensor 2139930 / 4326769/ 1953530 / 1928760,5WK97348A,"€237,50 Incl. BTW €287,38"
68,DAF NOx sensor 5WK97348A,5WK97348A,"€237,50 Incl. BTW €287,38"
69,DAF NOx sensor 2894940 / 2871979 / 4984577 / 4954222 / 1705572,5WK96675A,"€237,50 Incl. BTW €287,38"
70,DAF NOx sensor 5WK96675A,5WK96675A,"€237,50 Incl. BTW €287,38"
71,"Cummins, DAF NOx sensor 4326868",5WK96752C,"€237,50 Incl. BTW €287,38"
72,"Cummins, DAF NOx sensor 5WK96752C",5WK96752C,"€237,50 Incl. BTW €287,38"
73,FORD NOx sensor 5WK97402,5WK97402,"€237,50 Incl. BTW €287,38"
74,FORD NOx sensor A2C97808100-01,5WK97402,"€237,50 Incl. BTW €287,38"
75,FUSO NOx sensor 5WK96680C,5WK96680C,"€237,50 Incl. BTW €287,38"
76,FUSO NOx sensor ME230283,5WK96680C,"€237,50 Incl. BTW €287,38"
77,HINO NOx sensor 5WK96667C,5WK96667C,"€237,50 Incl. BTW €287,38"
78,HINO NOx sensor 89463-E0013,5WK96667C,"€237,50 Incl. BTW €287,38"
79,HINO NOx sensor 5WK96786,5WK96786,"€237,50 Incl. BTW €287,38"
80,HINO NOx sensor 89463-E0480,5WK96786,"€237,50 Incl. BTW €287,38"
81,IVECO NOx sensor 5801518405,5wk96770A,"€237,50 Incl. BTW €287,38"
82,IVECO NOx sensor 5wk96770A,5wk96770A,"€237,50 Incl. BTW €287,38"
83,IVECO NOx sensor 5801754014 / 5801627703,5WK96775A,"€237,50 Incl. BTW €287,38"
84,IVECO NOx sensor 5WK96775A,5WK96775A,"€237,50 Incl. BTW €287,38"
85,IVECO NOx sensor 5801754015 / 5801754016 / 41271167 / 5801424181 / 5801273980,5WK96615F,"€237,50 Incl. BTW €287,38"
86,IVECO NOx sensor 5WK96615F,5WK96615F,"€237,50 Incl. BTW €287,38"
87,IVECO NOx sensor 5801754016 / 5801443021 / 5801273980,5WK96733B,"€237,50 Incl. BTW €287,38"
88,IVECO NOx sensor 5WK96733B,5WK96733B,"€237,50 Incl. BTW €287,38"
89,IVECO NOx sensor 5801777219 / 5801627702 / 5801429373,5WK96720A,"€237,50 Incl. BTW €287,38"
90,IVECO NOx sensor 5WK96720A,5WK96720A,"€237,50 Incl. BTW €287,38"
91,IVECO NOx sensor 5WK96711C,5WK96711C,"€237,50 Incl. BTW €287,38"
92,IVECO NOx sensor 84414466,5WK96711C,"€237,50 Incl. BTW €287,38"
93,LIEBHERR NOx sensor 11008787,5WK96716,"€237,50 Incl. BTW €287,38"
94,LIEBHERR NOx sensor 5WK96716,5WK96716,"€237,50 Incl. BTW €287,38"
95,Mercedes-Benz NOx sensor A0009052809 / A2C16442600-291,BA032809,"€237,50 Incl. BTW €287,38"
96,Mercedes-Benz NOx sensor BA032809,BA032809,"€237,50 Incl. BTW €287,38"
97,Mercedes-Benz NOx sensor A0009052909 / A2C16442800-292,BA032909,"€237,50 Incl. BTW €287,38"
98,Mercedes-Benz NOx sensor BA032909,BA032909,"€237,50 Incl. BTW €287,38"
99,Mercedes-Benz NOx sensor A0009053009 / A2C15462900-02,BA033009,"€237,50 Incl. BTW €287,38"
100,Mercedes-Benz NOx sensor BA033009,BA033009,"€237,50 Incl. BTW €287,38"
101,Mercedes-Benz NOx sensor A0009053109 / A2C15463300-02,BA033109,"€237,50 Incl. BTW €287,38"
102,Mercedes-Benz NOx sensor BA033109,BA033109,"€237,50 Incl. BTW €287,38"
103,Mercedes-Benz NOx sensor 5WK96683D,5WK96683D,"€237,50 Incl. BTW €287,38"
104,Mercedes-Benz NOx sensor A0009053603 / A0009057100 / A0009052900 / A0009056304 / A0065420918 / A0009057100,5WK96683D,"€237,50 Incl. BTW €287,38"
105,Mercedes-Benz NOx sensor 5WK96642B,5WK96642B,"€237,50 Incl. BTW €287,38"
106,Mercedes-Benz NOx sensor A0081539828 / 004 / A0101539328,5WK96642B,"€237,50 Incl. BTW €287,38"
107,Mercedes-Benz NOx sensor A0009053403,,"€237,50 Incl. BTW €287,38"
108,Mercedes-Benz NOx sensor A0009059603,,"€237,50 Incl. BTW €287,38"
109,Mercedes-Benz NOx sensor 5WK96683F,5WK96683F,"€237,50 Incl. BTW €287,38"
110,Mercedes-Benz NOx sensor A009053706,5WK96683F,"€237,50 Incl. BTW €287,38"
111,Mercedes-Benz NOx sensor 5WK96653B,5WK96653B,"€237,50 Incl. BTW €287,38"
112,Mercedes-Benz NOx sensor 5WK96653C,5WK96653C,"€237,50 Incl. BTW €287,38"
113,Mercedes-Benz NOx sensor A0091530028 / 004,5WK96653B,"€237,50 Incl. BTW €287,38"
114,Mercedes-Benz NOx sensor A0101539528 / 001,5WK96653C,"€237,50 Incl. BTW €287,38"
115,Mercedes-Benz NOx sensor 5WK96616F,5WK96616F,"€237,50 Incl. BTW €287,38"
116,Mercedes-Benz NOx sensor A0091533628 / 005 / A0061537328,5WK96616F,"€237,50 Incl. BTW €287,38"
117,Mercedes-Benz NOx sensor A010.153.94.28 / A008.153.99.28 / A0101539428 / A0081539928,BA039428,"€237,50 Incl. BTW €287,38"
118,Mercedes-Benz NOx sensor BA039428,BA039428,"€237,50 Incl. BTW €287,38"
119,Mercedes-Benz NOx sensor 5WK97329A,5WK97329A,"€237,50 Incl. BTW €287,38"
120,Mercedes-Benz NOx sensor A0101531428 / 003,5WK97329A,"€237,50 Incl. BTW €287,38"
121,Mercedes-Benz NOx sensor 5WK97331A,5WK97331A,"€237,50 Incl. BTW €287,38"
122,Mercedes-Benz NOx sensor A0101531628,5WK97331A,"€237,50 Incl. BTW €287,38"
123,Mercedes-Benz NOx sensor 5WK97332A,5WK97332A,"€237,50 Incl. BTW €287,38"
124,Mercedes-Benz NOx sensor A0101531728 / 0003,5WK97332A,"€237,50 Incl. BTW €287,38"
125,Mercedes-Benz NOx sensor 5WK97341A,5WK97341A,"€237,50 Incl. BTW €287,38"
126,Mercedes-Benz NOx sensor A0101531928 / 0002,5WK97341A,"€237,50 Incl. BTW €287,38"
127,NOx sensor A0101532228,5WK97338A,"€237,50 Incl. BTW €287,38"
128,Mercedes-Benz NOx sensor 5WK97339A,5WK97339A,"€237,50 Incl. BTW €287,38"
129,Mercedes-Benz NOx sensor A0101532328 / 0002,5WK97339A,"€237,50 Incl. BTW €287,38"
130,Mercedes-Benz NOx sensor 5WK96659C,5WK96659C,"€237,50 Incl. BTW €287,38"
131,Mercedes-Benz NOx sensor A0101539628 / A009.153.01.28,5WK96659C,"€237,50 Incl. BTW €287,38"
132,NOx sensor 5WK97110,5WK97110,"€237,50 Incl. BTW €287,38"
133,NOx sensor A2C14046100-01,5WK97110,"€237,50 Incl. BTW €287,38"
134,"Opel, Renault NOx sensor 227905444R / NS11A17F04BE",5WK96748,"€237,50 Incl. BTW €287,38"
135,"Opel, Renault NOx sensor 5WK96748",5WK96748,"€237,50 Incl. BTW €287,38"
136,"Opel, Renault NOx sensor 227908539R / A2C80895300",5WK96747,"€237,50 Incl. BTW €287,38"
137,"Opel, Renault NOx sensor 5WK96747",5WK96747,"€237,50 Incl. BTW €287,38"
138,Scania NOx sensor 2296799 / 2247379 / 2020691 / 1908536 / 1872080 / 1782596,5WK96612F,"€237,50 Incl. BTW €287,38"
139,Scania NOx sensor 5WK96612F,5WK96612F,"€237,50 Incl. BTW €287,38"
140,Scania NOx sensor 2296800 / 2294290 / 2247380 / 2064768,5WK97400,"€237,50 Incl. BTW €287,38"
141,Scania NOx sensor 5WK97400,5WK97400,"€237,50 Incl. BTW €287,38"
142,Scania NOx sensor 2296801 / 2294291 / 2247381 / 2064769,5WK97401,"€237,50 Incl. BTW €287,38"
143,Scania NOx sensor 5WK97401,5WK97401,"€237,50 Incl. BTW €287,38"
144,Uninox NOx sensor 5801363754,5WK96614I,"€237,50 Incl. BTW €287,38"
145,Uninox NOx sensor 5WK96614I,5WK96614I,"€237,50 Incl. BTW €287,38"
146,"Renault, Volvo NOx sensor 22827993 / 21984358 / 21567736 / 20873395 / 20873117 / 7422.827.993",5WK97371,"€237,50 Incl. BTW €287,38"
147,"Renault, Volvo NOx sensor 5WK97371",5WK97371,"€237,50 Incl. BTW €287,38"
148,Volvo NOx sensor 20873395,5WK96605C,"€237,50 Incl. BTW €287,38"
149,Volvo NOx sensor 5WK96605C,5WK96605C,"€237,50 Incl. BTW €287,38"
150,Deutz  NoxSensor 5WK9 7421 - A2C99512800,,"€237,50 Incl. BTW €287,38"
151,Volvo NOx sensor 22219283,5WK96717B,"€237,50 Incl. BTW €287,38"
152,Volvo NOx sensor 5WK96717B,5WK96717B,"€237,50 Incl. BTW €287,38"
153,Volvo NOx sensor 22303390 / 21636091 / 21567764 / 21636091 / 21479638,5WK97367,"€237,50 Incl. BTW €287,38"
154,Volvo NOx sensor 5WK97367,5WK97367,"€237,50 Incl. BTW €287,38"
155,Volvo NOx sensor 22303391,5WK97366_,"€237,50 Incl. BTW €287,38"
156,Volvo NOx sensor 5WK97366_,5WK97366_,"€237,50 Incl. BTW €287,38"
157,Volvo NOx sensor 22827991 / 22315988 / 22219281 / 21567737 / 21531797 / 21040930 / 7422.827.991,5WK97368,"€237,50 Incl. BTW €287,38"
158,Volvo NOx sensor 5WK97368,5WK97368,"€237,50 Incl. BTW €287,38"
159,Volvo NOx sensor 22827995 / 22315987 / 22219284 / 21691455 / 21567742 / 21474017 / 21326719 / 7422.827.995,5WK97372,"€237,50 Incl. BTW €287,38"
160,Volvo NOx sensor 5WK97372,5WK97372,"€237,50 Incl. BTW €287,38"
161,Volvo NOx sensor 5WK97366,5WK97366,"€237,50 Incl. BTW €287,38"
162,Volvo NOx sensor A2C93782000-01 / 22303391,5WK97366,"€237,50 Incl. BTW €287,38"
163,WEICHAI NOx sensor 5WK97107,5WK97107,"€237,50 Incl. BTW €287,38"
164,WEICHAI NOx sensor A2C11224200-01,5WK97107,"€237,50 Incl. BTW €287,38"
165,WEICHAI NOx sensor 5WK96756,5WK96756,"€237,50 Incl. BTW €287,38"
166,WEICHAI NOx sensor A2C81234400-03,5WK96756,"€237,50 Incl. BTW €287,38"
167,WEICHAI NOx sensor 5WK97100,5WK97100,"€237,50 Incl. BTW €287,38"
168,WEICHAI NOx sensor A2C86399600-01,5WK97100,"€237,50 Incl. BTW €287,38"
169,WEICHAI NOx sensor 5WK97103,5WK97103,"€237,50 Incl. BTW €287,38"
170,WEICHAI NOx sensor A2C93843000-01,5WK97103,"€237,50 Incl. BTW €287,38"
171,WEICHAI NOx sensor 5WK97105,5WK97105,"€237,50 Incl. BTW €287,38"
172,WEICHAI NOx sensor A2C99851300-01,5WK97105,"€237,50 Incl. BTW €287,38"
173,"Uninox, WEICHAI NOx sensor 5WK96756A",5WK96756A,"€237,50 Incl. BTW €287,38"
174,"Uninox, WEICHAI NOx sensor A2C95913000-01",5WK96756A,"€237,50 Incl. BTW €287,38"
175,YUCHAI NOx sensor 5WK97101,5WK97101,"€237,50 Incl. BTW €287,38"
176,YUCHAI NOx sensor A2C87166600-01,5WK97101,"€237,50 Incl. BTW €287,38"
